                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9001,                 4.6494,                 1.6738,                0.00162,                0.43182,                0.03158,                0.01521,                 1.9467,                 3.8345,                 1.6936,             0.00054872,             0.00054872,             0.00054872
                      2,                 2.3323,                 3.9348,                 2.0206,                0.00073,                0.04545,                0.00054,                0.00033,                 2.6827,                 73.405,                 2.6337,              0.0010825,              0.0010825,              0.0010825
                      3,                 2.5342,                 3.7867,                 2.1583,                0.00073,                0.04545,                0.00054,                0.00033,                  5.199,                 11.808,                 51.116,              0.0015943,              0.0015943,              0.0015943
                      4,                 2.5729,                  3.714,                 2.1768,                0.00286,                0.43182,                0.01429,                0.00584,                 2.5718,                 3.5654,                 2.1669,               0.001568,               0.001568,               0.001568
                      5,                 2.5378,                 3.6314,                 2.1799,                0.61714,                0.09091,                0.03343,                0.01349,                 2.4768,                  7.783,                 2.2037,               0.001535,               0.001535,               0.001535
                      6,                 2.4256,                  3.434,                 2.1138,                0.93809,                0.04545,                0.06547,                 0.0361,                 2.0202,                 4.1126,                  1.992,               0.001502,               0.001502,               0.001502
                      7,                 2.4741,                 3.5053,                 2.1499,                0.57968,                0.18182,                0.07618,                0.01864,                 2.4006,                 3.1204,                 2.0249,               0.001469,               0.001469,               0.001469
                      8,                 2.3738,                 3.2714,                 2.0108,                0.67673,                0.13636,                0.15957,                 0.0509,                 2.0972,                 3.3362,                 1.8506,               0.001436,               0.001436,               0.001436
                      9,                 2.2613,                 3.1534,                 2.0172,                0.92446,                0.09091,                0.17816,                0.06975,                 2.3968,                 2.9313,                 1.9858,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.1857,                 3.0299,                 1.9444,                0.86909,                0.13636,                0.15606,                0.09654,                 2.1072,                 2.8121,                 1.8538,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.1181,                 3.0389,                 1.8863,                0.17317,                0.47727,                0.22124,                0.08985,                 1.8647,                 2.4983,                 1.7107,              0.0013369,              0.0013369,              0.0013369
                     12,                  2.108,                 2.8762,                 1.8436,                0.24366,                0.43182,                0.22843,                0.12159,                 1.8865,                 2.4954,                 1.7328,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.0697,                 2.8253,                 1.8614,                0.75952,                0.18182,                0.16696,                0.09892,                 2.0255,                  2.756,                 1.7705,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.0468,                 2.8535,                 1.8161,                0.96737,                0.09091,                0.13855,                 0.0804,                   2.06,                 2.5547,                 1.8161,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.9701,                 2.7045,                 1.7726,                0.29619,                0.42303,                0.26331,                0.15522,                 1.8468,                 2.4884,                 1.6933,              0.0012049,              0.0012049,              0.0012049
                     16,                  1.927,                 2.6587,                 1.7847,                0.32245,                0.38636,                0.26385,                0.13633,                 1.6211,                 2.5458,                 1.6821,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.9552,                 2.6456,                 1.7623,                0.27066,                0.38636,                0.38663,                0.19964,                 1.7402,                    2.8,                 1.5707,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.8602,                 2.4964,                 1.7313,                0.69738,                0.38636,                0.41866,                0.22379,                 1.6506,                  2.266,                 1.5664,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.8469,                 2.4446,                   1.66,                 0.3398,                0.43182,                0.29508,                0.16509,                 1.8475,                 2.0962,                 1.6347,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.8375,                 2.4268,                  1.678,                0.22229,                0.47727,                0.26429,                0.14709,                 1.8924,                 2.2943,                 1.6074,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.8059,                 2.4234,                 1.7015,                 0.4156,                0.43182,                0.43129,                 0.3217,                 1.8293,                 2.3471,                 1.6483,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.8199,                 2.4571,                 1.6971,                0.63464,                0.38636,                0.38142,                0.20353,                  1.738,                 2.0914,                 1.5794,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.7722,                 2.3487,                 1.6609,                0.84881,                0.13636,                0.18757,                0.12616,                  1.616,                 2.1686,                 1.5708,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.7472,                 2.2507,                 1.6322,                0.79975,                0.18182,                0.21374,                0.13745,                 1.7025,                 1.9776,                 1.6052,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.7774,                 2.3552,                 1.6415,                0.47484,                0.63636,                0.70032,                0.56631,                 1.6113,                 1.7905,                 1.4985,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.7163,                 2.1832,                 1.5981,                0.81875,                0.18182,                0.24344,                0.15559,                 1.5091,                 1.9582,                 1.4469,             0.00084184,             0.00084184,             0.00084184
